city,restaurant_count,avg_rating,avg_votes,avg_cost,rating_std,location_score,location_cluster
Albany,20,3.5549999999999997,83.8,19.75,0.18771478925557025,4.071199083185969,0
Auckland,20,4.275,339.75,68.25,0.5856844848461277,4.056837253691998,2
Trentham East,1,4.1,87.0,20.0,0.0,4.052515712399459,0
Goa,20,4.245,754.9,1175.0,0.36487200351269544,4.00784624804304,1
Secunderabad,2,4.5,951.0,825.0,0.141421356237309,3.9916731635172598,1
Pasig City,3,4.633333333333334,696.6666666666666,933.3333333333334,0.3785938897200179,3.9777137709843022,1
Dubuque,20,3.535,101.05,23.75,0.13088765773505343,3.948196338249931,0
Weirton,1,3.9,156.0,25.0,0.0,3.946188427660488,0
Manchester,20,4.045,203.8,49.25,0.423612285493531,3.925153774034814,2
East Ballina,1,4.1,56.0,20.0,0.0,3.922230048406362,0
Ahmedabad,21,4.161904761904762,584.0952380952381,857.1428571428571,0.28544034486419484,3.908731873647092,2
Chatham-Kent,1,3.7,176.0,25.0,0.0,3.9021596058281447,0
Mc Millan,1,2.4,17.0,10.0,0.0,3.896426045424864,0
Sandton,11,4.3,491.8181818181818,375.90909090909093,0.2756809750418046,3.881737109859289,2
Victor Harbor,1,3.6,96.0,20.0,0.0,3.881727961607012,0
Edinburgh,20,4.09,112.3,38.5,0.3160612865285864,3.87894450017005,2
Jaipur,20,4.13,552.4,1310.0,0.4623737380996142,3.8665437395390545,2
Abu Dhabi,20,4.3,302.25,182.0,0.3195391418244325,3.8487096174059086,2
Johannesburg,6,4.2,617.6666666666666,470.0,0.17888543819998326,3.8454141937077653,2
Princeton,1,4.0,542.0,70.0,0.0,3.8441617956688283,0
Chandigarh,18,4.050000000000001,574.6111111111111,1072.2222222222222,0.33299001928162414,3.8397264311468566,2
Lucknow,21,4.1952380952380945,434.76190476190476,859.5238095238095,0.3232277687269312,3.8335969827225265,2
Huskisson,1,4.1,40.0,20.0,0.0,3.8233862880672893,0
Makati City,2,4.65,452.5,1150.0,0.21213203435596445,3.822351114066072,2
Randburg,1,4.3,618.0,200.0,0.0,3.817746299361373,0
Inner City,2,4.9,317.5,1120.0,0.0,3.8168051142116752,2
Middleton Beach,1,3.8,176.0,30.0,0.0,3.8088262822725882,0
Taguig City,4,4.525,415.75,1725.0,0.12583057392117922,3.7922839506245105,1
Wellington City,20,4.25,146.3,71.25,0.20390916450326843,3.782895391259209,2
Panchkula,1,4.2,843.0,2000.0,0.0,3.780760466429782,1
Sharjah,20,4.029999999999999,243.65,105.5,0.4543358368339207,3.755974287011617,2
Mandaluyong City,3,4.7,310.0,1333.3333333333333,0.2645751311064588,3.7555673097545093,2
Kochi,20,4.08,359.95,730.0,0.3205258836744126,3.7304713373843357,2
Ankara,20,4.305,131.35,87.25,0.31867323637065514,3.7213135807785576,2
Quezon City,1,4.8,294.0,800.0,0.0,3.7204073249266902,2
Cape Town,20,4.11,270.75,297.2,0.3307089672999987,3.6972117523557304,2
New Delhi,3983,3.289430077830781,152.51594275671604,630.3565151895556,0.45657895385588804,3.6866455968432925,3
Pasay City,2,4.1,598.5,2000.0,0.14142135623730995,3.678690021202081,1
Vineland Station,1,4.3,204.0,70.0,0.0,3.6719319934301704,0
Guwahati,21,4.190476190476191,236.38095238095238,821.4285714285714,0.3128973664075202,3.6505424209853783,2
Birmingham,19,3.8736842105263154,73.15789473684211,40.0,0.42010859080739515,3.640905858885598,2
Coimbatore,20,4.135,210.95,782.5,0.3248886448907492,3.5909164685105823,2
San Juan City,2,4.25,340.5,850.0,0.0707106781186545,3.5833949443070887,2
Puducherry,20,3.7299999999999995,342.4,842.5,0.2657660229362821,3.5718599006867393,2
Forrest,1,3.7,29.0,20.0,0.0,3.569673882554644,0
Monroe,1,3.6,65.0,25.0,0.0,3.5662111086639237,0
Indore,20,3.97,238.85,960.0,0.2696976865033572,3.557289695468396,2
Doha,20,4.0600000000000005,163.8,223.75,0.4185186910244775,3.549257503475801,2
Pretoria,19,4.152631578947369,160.05263157894737,349.2105263157895,0.3079834430121054,3.5424172657047905,2
Gurgaon,882,3.3250566893424036,146.98072562358277,770.4308390022676,0.4881760246692773,3.533439306490794,2
Bhubaneshwar,21,3.9809523809523806,202.04761904761904,678.5714285714286,0.2891695828040143,3.524991040320552,2
Macedon,1,3.5,31.0,20.0,0.0,3.509035438895915,0
Vadodara,20,4.025,186.0,820.0,0.29890149759269846,3.5081750727014134,2
Tagaytay City,1,4.5,211.0,1200.0,0.0,3.4929572671103757,2
Surat,20,3.935,183.35,812.5,0.23232237130876224,3.468118465761477,2
Nagpur,20,3.965,172.8,715.0,0.5323977539594366,3.465795835554636,2
Vizag,20,4.005,163.85,780.0,0.387264359592419,3.463604060235817,2
Armidale,1,3.5,25.0,20.0,0.0,3.446743629462442,0
Mangalore,20,3.745,218.35,782.5,0.1877147892555702,3.4452119374546557,2
Mysore,20,3.6950000000000003,212.9,814.5,0.21636956688426454,3.416659770250717,2
Bhopal,20,3.95,143.85,620.0,0.3790570016848599,3.40941992550105,2
Ludhiana,20,3.9799999999999995,143.05,1160.0,0.31887961760877076,3.404741761526985,2
Dehradun,20,4.05,121.5,727.5,0.27625312572654137,3.394376961664696,2
Lorn,1,3.6,18.0,20.0,0.0,3.3926463618059293,0
Amritsar,21,3.6857142857142855,174.52380952380952,480.95238095238096,0.25551069309466135,3.375306528102829,2
Noida,694,3.15864553314121,104.97262247838617,622.6224783861671,0.46849229605095427,3.348925826371952,2
